ix,KO,PEP
1,,
2,-0.033019162270313984,-0.03803447095960255
3,0.005277922349081088,0.007557470154782031
4,-0.020944950161504217,-0.016738720643576066
5,0.00016800430468855154,0.006549498057785819
6,0.007529538679803771,0.010485616017179566
7,-0.0015013790489364354,0.0011254403370104527
8,-0.00838227853837914,-0.0028456014380227046
9,-0.0023597382351496776,0.0009494639809686234
10,-0.011199843277569066,-0.0004746193052564962
11,-0.012535573415479284,-0.00041551072779455467
12,-0.026084592497699788,-0.014590957319235542
13,0.010585816405103365,0.01589613799745493
14,-0.007221517075594264,-0.012288376809750368
15,-0.009770025957011264,-0.02031176722784611
16,0.011183236405815755,0.012115490355309788
17,0.002292115136791395,0.011192803135889662
18,-0.009555852198878334,-0.006664493511141956
19,-0.02174980845795993,-0.01946531604266255
20,-0.009494328604881641,-0.007336443176634511
21,-0.002203838071174413,0.001298622503963287
22,0.0016533512257312921,0.004747020442670724
23,0.01204174108768541,0.04097207291117755
24,0.013152149826664683,0.03035117403449128
25,-0.016058069942094022,-0.02563944467778345
